group;week;Low normal range;High normal range;Baseline;Substantial increase;Observed count
65to74;2020-11;8369.22;8863.15;8615;9113.62;9353
65to74;2020-12;8336.82;8824.08;8579.3;9071.15;10595
65to74;2020-13;8302.03;8782.49;8541.13;9026.08;12362
65to74;2020-14;8265.34;8739.13;8501.13;8979.3;13215
65to74;2020-15;8227.29;8694.75;8459.94;8931.69;12544
65to74;2020-16;8188.41;8650.13;8418.21;8884.14;11048
65to74;2020-17;8149.27;8605.99;8376.59;8837.45;10077
65to74;2020-18;8110.44;8563.04;8335.71;8792.39;9243
65to74;2020-19;8072.48;8521.91;8296.18;8749.64;8895
65to74;2020-20;8035.99;8483.2;8258.58;8709.81;8424
65to74;2020-21;8001.52;8447.42;8223.46;8673.38;8224
65to74;2020-22;7969.61;8415.05;8191.32;8640.77;8228
65to74;2020-23;7940.78;8386.46;8162.61;8612.31;8106
65to74;2020-24;7915.51;8361.99;8137.73;8588.27;7943
65to74;2020-25;7894.24;8341.87;8117.03;8568.76;7957
65to74;2020-26;7877.31;8326.36;8100.8;8553.98;8418
65to74;2020-27;7865.05;8315.58;8089.27;8543.96;8125
65to74;2020-28;7857.71;8309.62;8082.61;8538.72;7877
65to74;2020-29;7855.44;8308.56;8080.94;8538.27;7929
65to74;2020-30;7858.35;8312.37;8084.3;8542.56;8095
65to74;2020-31;7866.44;8321.05;8092.68;8551.53;8184
65to74;2020-32;7879.65;8334.48;8106;8565.07;8166
65to74;2020-33;7897.83;8352.57;8124.14;8583.1;8669
65to74;2020-34;7920.78;8375.13;8146.9;8605.45;8106
65to74;2020-35;7948.17;8401.96;8174.01;8631.98;8194
65to74;2020-36;7979.65;8432.8;8205.18;8662.49;8254
65to74;2020-37;8014.76;8467.38;8240.03;8696.77;8427
65to74;2020-38;8053.02;8505.33;8278.15;8734.56;8458
65to74;2020-39;8093.87;8546.3;8319.06;8775.57;8586
65to74;2020-40;8136.71;8589.83;8362.24;8819.44;8955
65to74;2020-41;8180.91;8635.44;8407.15;8865.76;8834
65to74;2020-42;8225.81;8682.62;8453.19;8914.1;9113
65to74;2020-43;8270.77;8730.77;8499.73;8963.86;9646
65to74;2020-44;8315.15;8779.27;8546.16;9014.46;10260
65to74;2020-45;8358.3;8827.44;8591.8;9065.2;10596
65to74;2020-46;8399.62;8874.59;8636.02;9115.32;10822
65to74;2020-47;8438.56;8920.01;8678.17;9164.05;10923
65to74;2020-48;8474.59;8962.97;8717.64;9210.56;10969
65to74;2020-49;8507.24;9002.77;8753.84;9254.02;11047
65to74;2020-50;8536.1;9038.73;8786.22;9293.62;10821
65to74;2020-51;8560.81;9070.24;8814.29;9328.61;10728
65to74;2020-52;8581.06;9096.72;8837.64;9358.29;10794
65to74;2020-53;8596.64;9117.72;8855.9;9382.07;10787
65to74;2021-01;8607.37;9132.86;8868.82;9399.48;11074
65to74;2021-02;8613.16;9141.87;8876.2;9410.14;11661
65to74;2021-03;8613.97;9144.6;8877.96;9413.85;11827
65to74;2021-04;8609.85;9141.01;8874.11;9410.55;11477
65to74;2021-05;8600.89;9131.21;8864.73;9400.31;10992
65to74;2021-06;8587.28;9115.4;8850.03;9383.38;10414
65to74;2021-07;8569.24;9093.91;8830.28;9360.12;10347
65to74;2021-08;8547.07;9067.17;8805.84;9331.04;9626
65to74;2021-09;8521.1;9035.72;8777.15;9296.78;9663
65to74;2021-10;8491.72;9000.16;8744.71;9258.05;9847
65to74;2021-11;8459.38;8961.17;8709.07;9215.66;9823
65to74;2021-12;8424.53;8919.49;8670.83;9170.48;9856
65to74;2021-13;8387.68;8875.86;8630.62;9123.39;9937
65to74;2021-14;8349.35;8831.08;8589.09;9075.3;9934
65to74;2021-15;8310.09;8785.89;8546.89;9027.09;9637
65to74;2021-16;8270.47;8741.07;8504.69;8979.61;9597
65to74;2021-17;8231.07;8697.32;8463.12;8933.64;9286
65to74;2021-18;8192.46;8655.3;8422.82;8889.88;9482
65to74;2021-19;8155.24;8615.62;8384.38;8848.96;8849
65to74;2021-20;8119.96;8578.83;8348.35;8811.4;8747
65to74;2021-21;8087.19;8545.41;8315.25;8777.65;8389
65to74;2021-22;8057.46;8515.75;8285.55;8748.05;8430
65to74;2021-23;8031.25;8490.21;8259.67;8722.87;8518
65to74;2021-24;8008.99;8469.07;8237.96;8702.3;8336
65to74;2021-25;7991.09;8452.54;8220.74;8686.48;8281
65to74;2021-26;7977.87;8440.79;8208.24;8675.5;8422
65to74;2021-27;7969.57;8433.93;8200.66;8669.38;8301
65to74;2021-28;7966.39;8432.02;8198.11;8668.13;8480
65to74;2021-29;7968.43;8435.08;8200.65;8671.71;8679
65to74;2021-30;7975.73;8443.07;8208.29;8680.04;8606
65to74;2021-31;7988.2;8455.93;8220.96;8693.1;8707
65to74;2021-32;8005.75;8473.52;8238.53;8710.7;8928
65to74;2021-33;8028.15;8495.68;8260.82;8732.74;8813
65to74;2021-34;8055.12;8522.23;8287.57;8759.05;8780
65to74;2021-35;8086.28;8552.89;8318.5;8789.45;9027
65to74;2021-36;8121.21;8587.4;8353.22;8823.73;9135
65to74;2021-37;8159.41;8625.41;8391.33;8861.62;8786
65to74;2021-38;8200.33;8666.53;8432.36;8902.83;8687
65to74;2021-39;8243.35;8710.36;8475.78;8947.05;8904
65to74;2021-40;8287.91;8756.35;8521.05;8993.77;9012
65to74;2021-41;8333.28;8804.03;8567.58;9042.63;9383
65to74;2021-42;8378.82;8852.81;8614.73;9093.04;9088
65to74;2021-43;8423.89;8902.04;8661.87;9144.4;9502
65to74;2021-44;8467.83;8951.08;8708.33;9196.03;9552
65to74;2021-45;8510.04;8999.18;8753.47;9247.14;9926
65to74;2021-46;8549.93;9045.65;8796.63;9296.98;9936
65to74;2021-47;8586.97;9089.76;8837.17;9344.7;10459
65to74;2021-48;8620.67;9130.77;8874.5;9389.47;10862
65to74;2021-49;8650.6;9168.02;8908.06;9430.46;10707
65to74;2021-50;8676.39;9200.85;8937.34;9466.91;10569
65to74;2021-51;8697.72;9228.69;8961.89;9498.08;10653
65to74;2021-52;8714.34;9251.05;8981.36;9523.38;10629
75to84;2020-01;14449.93;15346.17;14895.8;15800.99;15331
75to84;2020-02;14501.18;15405.93;14951.28;15865.11;16007
75to84;2020-03;14535.1;15445.89;14988.19;15908.16;15770
75to84;2020-04;14551.12;15465.24;15005.86;15929.22;15424
75to84;2020-05;14548.98;15463.6;15003.97;15927.82;15656
75to84;2020-06;14528.74;15440.99;14982.55;15904.01;15181
75to84;2020-07;14490.74;15397.86;14942;15858.26;15224
75to84;2020-08;14435.61;15335.08;14883.08;15791.56;14630
75to84;2020-09;14364.3;15253.89;14806.86;15705.32;14836
75to84;2020-10;14277.95;15155.85;14714.72;15601.31;15085
75to84;2020-11;14178.01;15042.86;14608.3;15481.65;15500
75to84;2020-12;14066.05;14917.03;14489.46;15348.72;18145
75to84;2020-13;13943.87;14780.65;14360.23;15205.09;22462
75to84;2020-14;13813.37;14636.13;14222.77;15053.42;24908
75to84;2020-15;13676.56;14485.95;14079.32;14896.42;24072
75to84;2020-16;13535.52;14332.56;13932.14;14736.75;20950
75to84;2020-17;13392.35;14178.4;13783.5;14576.99;18064
75to84;2020-18;13249.14;14025.76;13635.61;14419.57;16080
75to84;2020-19;13107.98;13876.84;13490.59;14266.71;15083
75to84;2020-20;12970.88;13733.65;13350.45;14120.45;14156
75to84;2020-21;12839.74;13598.02;13217.07;13982.57;13826
75to84;2020-22;12716.39;13471.62;13092.19;13854.65;13095
75to84;2020-23;12602.48;13355.91;12977.38;13738.06;13115
75to84;2020-24;12499.53;13252.16;12874.01;13633.95;12900
75to84;2020-25;12408.86;13161.48;12783.32;13543.28;12864
75to84;2020-26;12331.66;13084.75;12706.35;13466.84;13065
75to84;2020-27;12268.88;13022.76;12643.95;13405.28;12858
75to84;2020-28;12221.29;12976.08;12596.8;13359.1;12805
75to84;2020-29;12189.49;12945.14;12565.42;13328.6;13022
75to84;2020-30;12173.86;12930.22;12550.14;13314.07;12875
75to84;2020-31;12174.59;12931.47;12551.13;13315.57;13648
75to84;2020-32;12191.7;12948.84;12568.37;13333.08;13347
75to84;2020-33;12224.98;12982.2;12601.69;13366.46;14213
75to84;2020-34;12274.04;13031.22;12650.74;13415.44;13098
75to84;2020-35;12338.31;13095.45;12715;13479.63;13117
75to84;2020-36;12416.99;13174.29;12793.77;13558.5;13121
75to84;2020-37;12509.13;13266.93;12886.18;13651.36;13514
75to84;2020-38;12613.53;13372.49;12991.16;13757.47;13853
75to84;2020-39;12728.87;13489.82;13107.51;13875.79;13781
75to84;2020-40;12853.61;13617.66;13233.8;14005.17;14218
75to84;2020-41;12986.08;13754.53;13368.47;14144.25;14501
75to84;2020-42;13124.44;13898.8;13509.77;14291.5;15154
75to84;2020-43;13266.74;14048.64;13655.82;14445.15;16321
75to84;2020-44;13410.94;14202.04;13804.6;14603.22;17668
75to84;2020-45;13554.95;14356.84;13953.98;14763.51;18829
75to84;2020-46;13696.64;14510.76;14101.74;14923.66;19139
75to84;2020-47;13833.87;14661.4;14245.64;15081.14;18837
75to84;2020-48;13964.57;14806.32;14383.39;15233.32;18644
75to84;2020-49;14086.7;14943.06;14512.78;15377.52;18643
75to84;2020-50;14198.36;15069.23;14631.64;15511.1;18811
75to84;2020-51;14297.79;15182.53;14737.95;15631.5;18760
75to84;2020-52;14383.38;15280.86;14829.85;15736.34;18353
75to84;2020-53;14453.75;15362.34;14905.73;15823.51;18993
75to84;2021-01;14507.75;15425.39;14964.22;15891.19;19721
75to84;2021-02;14544.5;15468.76;15004.26;15937.96;20671
75to84;2021-03;14563.39;15491.6;15025.11;15962.82;21640
75to84;2021-04;14564.12;15493.44;15026.38;15965.23;20343
75to84;2021-05;14546.68;15474.24;15008.07;15945.14;19106
75to84;2021-06;14511.37;15434.4;14970.52;15902.98;17764
75to84;2021-07;14458.8;15374.71;14914.41;15839.65;16978
75to84;2021-08;14389.84;15296.34;14840.79;15756.47;16015
75to84;2021-09;14305.65;15200.84;14750.98;15655.18;15550
75to84;2021-10;14207.59;15090.02;14646.59;15537.84;15516
75to84;2021-11;14097.25;14965.98;14529.45;15406.79;15481
75to84;2021-12;13976.39;14830.99;14401.58;15264.59;15578
75to84;2021-13;13846.91;14687.45;14265.12;15113.88;15929
75to84;2021-14;13710.8;14537.83;14122.3;14957.36;15452
75to84;2021-15;13570.15;14384.6;13975.39;14797.72;15009
75to84;2021-16;13427.04;14230.19;13826.67;14637.56;15065
75to84;2021-17;13283.59;14076.93;13678.35;14479.32;14455
75to84;2021-18;13141.89;13927.06;13532.57;14325.3;14425
75to84;2021-19;13003.94;13782.6;13391.38;14177.55;13831
75to84;2021-20;12871.71;13645.44;13256.69;14037.91;13615
75to84;2021-21;12746.99;13517.26;13130.24;13908.01;13412
75to84;2021-22;12631.47;13399.58;13013.64;13789.26;13218
75to84;2021-23;12526.7;13293.7;12908.3;13682.86;13089
75to84;2021-24;12434.04;13200.75;12815.49;13589.8;13176
75to84;2021-25;12354.67;13121.68;12736.25;13510.92;13164
75to84;2021-26;12289.6;13057.26;12671.49;13446.87;13338
75to84;2021-27;12239.62;13008.13;12621.93;13398.19;13223
75to84;2021-28;12205.36;12974.72;12588.08;13365.24;13342
75to84;2021-29;12187.23;12957.35;12570.32;13348.27;14249
75to84;2021-30;12185.45;12956.18;12568.84;13347.41;13918
75to84;2021-31;12200.06;12971.2;12583.66;13362.64;14264
75to84;2021-32;12230.89;13002.28;12614.62;13393.83;14420
75to84;2021-33;12277.59;13049.14;12661.41;13440.75;14304
75to84;2021-34;12339.61;13111.33;12723.52;13503;14119
75to84;2021-35;12416.19;13188.26;12800.29;13580.08;14353
75to84;2021-36;12506.39;13279.2;12890.86;13671.35;14749
75to84;2021-37;12609.08;13383.21;12994.22;13776;14133
75to84;2021-38;12722.93;13499.22;13109.16;13893.07;13946
75to84;2021-39;12846.46;13625.97;13234.3;14021.43;14394
75to84;2021-40;12977.99;13762.01;13368.09;14159.74;14366
75to84;2021-41;13115.72;13905.74;13508.81;14306.48;14732
75to84;2021-42;13257.73;14055.33;13654.59;14459.91;15031
75to84;2021-43;13401.94;14208.85;13803.43;14618.16;15635
75to84;2021-44;13546.39;14364.04;13953.22;14778.82;15677
75to84;2021-45;13688.81;14518.74;14101.74;14939.77;16288
75to84;2021-46;13827.12;14670.53;14246.74;15098.44;16598
75to84;2021-47;13959.21;14816.97;14385.96;15252.2;17165
75to84;2021-48;14083.04;14955.59;14517.13;15398.37;17850
75to84;2021-49;14196.69;15083.98;14638.1;15534.3;17746
75to84;2021-50;14298.35;15199.83;14746.79;15657.42;17299
75to84;2021-51;14386.39;15301.01;14841.35;15765.31;17617
75to84;2021-52;14459.39;15385.57;14920.09;15855.8;17891
65P;2020-01;46637.47;48951.95;47790.04;50123.12;50434
65P;2020-02;46843.55;49182.21;48008.14;50365.71;52257
65P;2020-03;46988.09;49344.35;48161.42;50536.82;51483
65P;2020-04;47068.77;49435.32;48247.21;50633.03;50495
65P;2020-05;47084.36;49453.51;48264.09;50652.54;51184
65P;2020-06;47034.76;49398.75;48211.92;50595.15;49468
65P;2020-07;46921.03;49272.33;48091.89;50462.27;49315
65P;2020-08;46745.35;49076.93;47906.41;50256.84;47360
65P;2020-09;46510.87;48816.68;47659.13;49983.45;47779
65P;2020-10;46221.83;48496.74;47354.73;49647.78;48210
65P;2020-11;45883.25;48123.43;46998.89;49256.8;49928
65P;2020-12;45500.89;47703.89;46598.05;48818.34;56861
65P;2020-13;45081.15;47245.94;46159.32;48340.95;68756
65P;2020-14;44630.92;46757.82;45690.24;47833.58;78779
65P;2020-15;44157.39;46248.01;45198.67;47305.35;76747
65P;2020-16;43668;45725.03;44692.57;46765.32;67544
65P;2020-17;43170.25;45197.25;44179.88;46222.32;58780
65P;2020-18;42671.64;44672.75;43668.37;45684.71;51818
65P;2020-19;42179.48;44159.16;43165.54;45160.29;48355
65P;2020-20;41700.86;43663.6;42678.47;44656.19;44617
65P;2020-21;41242.51;43192.6;42213.8;44178.86;44048
65P;2020-22;40810.75;42752.06;41777.65;43733.93;41739
65P;2020-23;40411.38;42347.26;41375.55;43326.46;41030
65P;2020-24;40049.67;41982.83;41012.45;42960.74;40128
65P;2020-25;39730.28;41662.78;40692.7;42640.44;40261
65P;2020-26;39457.26;41390.5;40420.03;42368.62;41831
65P;2020-27;39234.01;41168.84;40197.55;42147.83;40578
65P;2020-28;39063.31;41000.05;40027.78;41980.07;40220
65P;2020-29;38947.26;40885.88;39912.65;41866.9;40550
65P;2020-30;38887.37;40827.47;39853.49;41809.26;40889
65P;2020-31;38884.45;40825.56;39851.06;41807.87;42825
65P;2020-32;38938.7;40880.28;39905.55;41862.81;42087
65P;2020-33;39049.68;40991.28;40016.56;41973.79;45000
65P;2020-34;39216.28;41157.72;40183.09;42140.1;41514
65P;2020-35;39436.81;41378.13;40403.58;42360.38;40962
65P;2020-36;39708.86;41650.57;40675.85;42632.95;41351
65P;2020-37;40029.26;41972.62;40997.1;42955.76;42538
65P;2020-38;40394.4;42341.04;41363.9;43325.76;43804
65P;2020-39;40799.85;42752.14;41772.19;43739.63;42771
65P;2020-40;41240.6;43201.54;42217.28;44193.34;44872
65P;2020-41;41711.02;43684.23;42693.82;44682.17;45273
65P;2020-42;42204.92;44194.5;43195.89;45200.69;46973
65P;2020-43;42715.65;44726.04;43716.99;45742.73;51327
65P;2020-44;43236.12;45271.87;44250.09;46301.39;54857
65P;2020-45;43758.93;45824.46;44787.73;46869.07;58209
65P;2020-46;44276.5;46375.8;45322.1;47437.54;59484
65P;2020-47;44781.11;46917.5;45845.16;47998.07;58947
65P;2020-48;45265.13;47440.96;46348.79;48541.57;58468
65P;2020-49;45721.07;47937.52;46824.92;49058.78;59007
65P;2020-50;46141.75;48398.68;47265.72;49540.54;59144
65P;2020-51;46520.44;48816.29;47663.76;49977.96;58691
65P;2020-52;46851.01;49182.82;48012.2;50362.81;58082
65P;2020-53;47128.04;49491.49;48304.95;50687.59;59851
65P;2021-01;47346.98;49736.52;48536.84;50945.92;62839
65P;2021-02;47504.21;49913.3;48703.79;51132.66;66237
65P;2021-03;47597.19;50018.53;48802.86;51244.14;68512
65P;2021-04;47624.47;50050.31;48832.37;51278.22;65328
65P;2021-05;47585.77;50008.21;48791.98;51234.38;60194
65P;2021-06;47481.94;49893.27;48682.63;51113.78;56075
65P;2021-07;47314.99;49707.97;48506.56;50919.14;54148
65P;2021-08;47087.96;49456.19;48267.24;50654.75;50427
65P;2021-09;46804.93;49143.01;47969.22;50326.22;48447
65P;2021-10;46470.85;48774.61;47618.09;49940.35;48844
65P;2021-11;46091.45;48358.1;47220.24;49504.95;48436
65P;2021-12;45673.08;47901.24;46782.74;49028.52;48378
65P;2021-13;45222.64;47412.32;46313.17;48520.04;48830
65P;2021-14;44747.37;46899.9;45819.42;47988.73;47947
65P;2021-15;44254.76;46372.58;45309.55;47443.8;47114
65P;2021-16;43752.41;45838.88;44791.59;46894.2;46864
65P;2021-17;43247.87;45307.03;44273.46;46348.52;45481
65P;2021-18;42748.59;44784.85;43762.78;45814.76;45645
65P;2021-19;42261.81;44279.64;43266.8;45300.26;43327
65P;2021-20;41794.37;43798.13;42792.34;44811.69;42476
65P;2021-21;41352.73;43346.42;42345.66;44354.93;41949
65P;2021-22;40942.86;42929.96;41932.49;43935.22;41662
65P;2021-23;40570.16;42553.57;41557.92;43557.05;41415
65P;2021-24;40239.46;42221.42;41226.47;43224.25;41650
65P;2021-25;39954.96;41937.06;40942.01;42940.04;41176
65P;2021-26;39720.21;41703.48;40707.82;42707.12;41972
65P;2021-27;39538.11;41523.06;40526.53;42527.62;41850
65P;2021-28;39410.93;41397.66;40400.22;42403.17;42168
65P;2021-29;39340.26;41328.57;40330.33;42334.91;44409
65P;2021-30;39327.08;41316.59;40317.74;42323.56;43678
65P;2021-31;39371.69;41361.96;40362.74;42369.3;44864
65P;2021-32;39473.75;41464.44;40465.02;42471.96;45758
65P;2021-33;39632.28;41623.22;40623.69;42630.83;44974
65P;2021-34;39845.64;41836.99;40837.27;42844.74;44125
65P;2021-35;40111.53;42103.84;41103.66;43111.99;44639
65P;2021-36;40426.91;42421.38;41420.15;43430.55;46256
65P;2021-37;40788.19;42786.51;41783.37;43797.56;44123
65P;2021-38;41191.09;43195.53;42189.34;44209.6;43417
65P;2021-39;41630.58;43644.18;42633.42;44662.8;44757
65P;2021-40;42101.12;44127.46;43110.32;45152.48;45061
65P;2021-41;42596.55;44639.73;43614.15;45673.22;46488
65P;2021-42;43110.22;45174.69;44138.43;46218.93;47400
65P;2021-43;43635.06;45725.39;44676.15;46782.71;49048
65P;2021-44;44163.62;46284.3;45219.82;47357.01;49048
65P;2021-45;44688.27;46843.38;45761.6;47933.56;51118
65P;2021-46;45201.23;47394.21;46293.39;48503.62;51510
65P;2021-47;45694.74;47928.11;46806.99;49058.04;53235
65P;2021-48;46161.2;48436.31;47294.19;49587.47;56009
65P;2021-49;46593.27;48910.18;47747.04;50082.61;56043
65P;2021-50;46984.06;49341.4;48157.92;50534.41;55056
65P;2021-51;47327.24;49722.21;48519.8;50934.39;55746
65P;2021-52;47617.2;50045.62;48826.38;51274.85;56364
85P;2020-01;23484.43;24949.17;24213.11;25692.54;25738
85P;2020-02;23631.2;25113.74;24368.71;25866.21;26827
85P;2020-03;23738.63;25234.38;24482.7;25993.6;26435
85P;2020-04;23804.9;25308.72;24552.97;26072.07;25706
85P;2020-05;23828.91;25335.38;24578.3;26100.09;26204
85P;2020-06;23810.37;25313.97;24558.34;26077.2;25215
85P;2020-07;23749.78;25245.12;24493.65;26004.13;25086
85P;2020-08;23648.4;25130.48;24385.69;25882.7;23970
85P;2020-09;23508.23;24972.62;24236.74;25715.8;24104
85P;2020-10;23331.95;24774.97;24049.85;25507.23;24248
85P;2020-11;23122.82;24541.68;23828.73;25261.6;25075
85P;2020-12;22884.65;24277.5;23577.65;24984.15;28121
85P;2020-13;22621.63;23987.63;23301.29;24680.58;33932
85P;2020-14;22338.26;23677.57;23004.67;24356.91;40656
85P;2020-15;22039.29;23352.91;22692.93;24019.17;40131
85P;2020-16;21729.58;23019.29;22371.34;23673.37;35546
85P;2020-17;21414.02;22682.17;22045.05;23325.31;30639
85P;2020-18;21097.43;22346.8;21719.12;22980.41;26495
85P;2020-19;20784.54;22018.1;21398.36;22643.71;24377
85P;2020-20;20479.86;21700.59;21087.28;22319.73;22037
85P;2020-21;20187.63;21398.41;20790.08;22012.56;21998
85P;2020-22;19911.84;21115.22;20510.59;21725.68;20416
85P;2020-23;19656.07;20854.32;20252.24;21462.24;19809
85P;2020-24;19423.59;20618.51;20018.07;21224.82;19286
85P;2020-25;19217.23;20410.25;19810.75;21015.69;19440
85P;2020-26;19039.47;20231.61;19632.52;20836.68;20348
85P;2020-27;18892.37;20084.31;19485.3;20689.34;19595
85P;2020-28;18777.63;19969.74;19370.63;20574.91;19538
85P;2020-29;18696.54;19888.99;19289.69;20494.37;19599
85P;2020-30;18650.06;19842.84;19243.37;20448.41;19919
85P;2020-31;18638.77;19831.78;19232.19;20437.48;20993
85P;2020-32;18662.9;19856.05;19256.4;20461.8;20574
85P;2020-33;18722.34;19915.58;19315.89;20521.36;22118
85P;2020-34;18816.59;20010.04;19410.26;20615.88;20310
85P;2020-35;18944.83;20138.79;19538.77;20744.83;19651
85P;2020-36;19105.84;20300.86;19700.33;20907.38;19976
85P;2020-37;19297.97;20495.02;19893.49;21102.48;20597
85P;2020-38;19519.27;20719.58;20116.44;21328.64;21493
85P;2020-39;19767.3;20972.53;20366.94;21584;20404
85P;2020-40;20039.19;21251.5;20642.38;21866.5;21699
85P;2020-41;20331.74;21553.57;20939.69;22173.34;21938
85P;2020-42;20641.32;21875.45;21255.39;22501.41;22706
85P;2020-43;20963.89;22213.36;21585.61;22847.07;25360
85P;2020-44;21294.8;22563.41;21926.04;23206.83;26929
85P;2020-45;21630.47;22919.85;22272.05;23573.81;28784
85P;2020-46;21965.03;23278.67;22618.67;23944.97;29523
85P;2020-47;22293.84;23634.09;22960.71;24313.94;29187
85P;2020-48;22611.89;23980.45;23292.82;24674.71;28855
85P;2020-49;22914.15;24311.93;23609.59;25021.1;29317
85P;2020-50;23195.75;24622.75;23905.7;25346.83;29512
85P;2020-51;23452.04;24907.28;24176.01;25645.77;29203
85P;2020-52;23678.71;25160.18;24415.7;25912.08;28935
85P;2020-53;23871.87;25376.61;24620.41;26140.4;30071
85P;2021-01;24028.19;25552.34;24786.36;26326.06;32044
85P;2021-02;24144.95;25683.92;24910.48;26465.21;33906
85P;2021-03;24220.16;25768.77;24990.47;26554.99;35045
85P;2021-04;24252.57;25805.28;25024.91;26593.6;33508
85P;2021-05;24241.72;25792.86;25013.28;26580.38;30096
85P;2021-06;24187.96;25731.97;24955.99;26515.84;27897
85P;2021-07;24092.44;25624.09;24854.33;26401.63;26824
85P;2021-08;23957.06;25471.65;24710.49;26240.48;24786
85P;2021-09;23784.41;25278;24527.42;26036.1;23234
85P;2021-10;23577.71;25047.23;24308.77;25793.03;23481
85P;2021-11;23340.75;24784.07;24058.8;25516.49;23132
85P;2021-12;23077.69;24493.73;23782.2;25212.21;22944
85P;2021-13;22793.1;24181.73;23484;24886.25;22964
85P;2021-14;22491.76;23853.79;23169.44;24544.75;22561
85P;2021-15;22178.57;23515.62;22843.83;24193.87;22468
85P;2021-16;21858.51;23172.84;22512.48;23839.54;22202
85P;2021-17;21536.53;22830.83;22180.53;23487.37;21740
85P;2021-18;21217.42;22494.67;21852.93;23142.57;21738
85P;2021-19;20905.83;22169.04;21534.35;22809.85;20647
85P;2021-20;20606.13;21858.24;21229.1;22493.46;20114
85P;2021-21;20322.39;21566.09;20941.16;22197.11;20149
85P;2021-22;20058.37;21296;20674.1;21924.02;20014
85P;2021-23;19817.42;21050.96;20431.08;21676.98;19808
85P;2021-24;19602.51;20833.52;20214.89;21458.33;20138
85P;2021-25;19416.23;20645.87;20027.9;21270.06;19731
85P;2021-26;19260.75;20489.82;19872.12;21113.8;20212
85P;2021-27;19137.86;20366.87;19749.18;20990.86;20326
85P;2021-28;19048.97;20278.16;19660.36;20902.3;20346
85P;2021-29;18995.09;20224.56;19606.62;20848.86;21481
85P;2021-30;18976.9;20206.65;19588.56;20831.11;21154
85P;2021-31;18994.69;20224.69;19606.47;20849.28;21893
85P;2021-32;19048.4;20278.69;19660.34;20903.39;22410
85P;2021-33;19137.63;20368.36;19749.8;20993.25;21858
85P;2021-34;19261.58;20493.1;19874.16;21118.34;21226
85P;2021-35;19419.08;20652.02;20032.39;21277.91;21259
85P;2021-36;19608.57;20843.87;20223.07;21470.88;22372
85P;2021-37;19828.09;21067.05;20444.44;21695.86;21204
85P;2021-38;20075.25;21319.59;20694.3;21951.05;20784
85P;2021-39;20347.26;21599.09;20970.06;22234.29;21459
85P;2021-40;20640.89;21902.73;21268.69;22542.95;21683
85P;2021-41;20952.54;22227.2;21586.73;22873.87;22373
85P;2021-42;21278.2;22568.75;21920.31;23223.47;23281
85P;2021-43;21613.51;22923.15;22265.12;23587.54;23911
85P;2021-44;21953.86;23285.7;22616.52;23961.36;23819
85P;2021-45;22294.37;23651.29;22969.49;24339.71;24904
85P;2021-46;22630.01;24014.47;23318.81;24716.9;24976
85P;2021-47;22955.65;24369.48;23659.05;25086.89;25611
85P;2021-48;23266.21;24710.46;23984.71;25443.38;27297
85P;2021-49;23556.69;25031.48;24290.36;25780;27590
85P;2021-50;23822.3;25326.78;24570.71;26090.46;27188
85P;2021-51;24058.59;25590.87;24820.79;26368.76;27476
85P;2021-52;24261.52;25818.71;25036.08;26609.33;27844